2025-07-17 01:16:07 status half-installed libc-bin:amd64 2.36-9+deb12u10
2025-07-17 01:16:07 status unpacked libc-bin:amd64 2.36-9+deb12u10
2025-07-17 01:16:07 upgrade libc6:amd64 2.36-9+deb12u10 2.36-9+deb12u10
2025-07-17 01:16:07 status half-configured libc6:amd64 2.36-9+deb12u10
2025-07-17 01:16:07 status unpacked libc6:amd64 2.36-9+deb12u10
2025-07-17 01:16:07 status half-installed libc6:amd64 2.36-9+deb12u10
2025-07-17 01:16:08 status unpacked libc6:amd64 2.36-9+deb12u10
2025-07-17 01:16:08 install libcap-ng0:amd64 <none> 0.8.3-1+b3
2025-07-17 01:16:08 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2025-07-17 01:16:08 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2025-07-17 01:16:08 install libcap2:amd64 <none> 1:2.66-4+deb12u1
2025-07-17 01:16:08 status half-installed libcap2:amd64 1:2.66-4+deb12u1
2025-07-17 01:16:09 status unpacked libcap2:amd64 1:2.66-4+deb12u1
2025-07-17 01:16:09 install libcom-err2:amd64 <none> 1.47.0-2
2025-07-17 01:16:09 status half-installed libcom-err2:amd64 1.47.0-2
2025-07-17 01:16:09 status unpacked libcom-err2:amd64 1.47.0-2
2025-07-17 01:16:09 install libcrypt1:amd64 <none> 1:4.4.33-2
2025-07-17 01:16:09 status half-installed libcrypt1:amd64 1:4.4.33-2
2025-07-17 01:16:09 status unpacked libcrypt1:amd64 1:4.4.33-2
2025-07-17 01:16:09 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2025-07-17 01:16:09 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2025-07-17 01:16:09 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2025-07-17 01:16:09 install libdebconfclient0:amd64 <none> 0.270
2025-07-17 01:16:09 status half-installed libdebconfclient0:amd64 0.270
2025-07-17 01:16:09 status unpacked libdebconfclient0:amd64 0.270
2025-07-17 01:16:09 install libext2fs2:amd64 <none> 1.47.0-2
2025-07-17 01:16:09 status half-installed libext2fs2:amd64 1.47.0-2
2025-07-17 01:16:09 status unpacked libext2fs2:amd64 1.47.0-2
2025-07-17 01:16:09 install libffi8:amd64 <none> 3.4.4-1
2025-07-17 01:16:09 status half-installed libffi8:amd64 3.4.4-1
2025-07-17 01:16:09 status unpacked libffi8:amd64 3.4.4-1
2025-07-17 01:16:09 install libgcc-s1:amd64 <none> 12.2.0-14+deb12u1
2025-07-17 01:16:09 status half-installed libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:09 status unpacked libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:09 install libgcrypt20:amd64 <none> 1.10.1-3
2025-07-17 01:16:09 status half-installed libgcrypt20:amd64 1.10.1-3
2025-07-17 01:16:09 status unpacked libgcrypt20:amd64 1.10.1-3
2025-07-17 01:16:09 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2025-07-17 01:16:09 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-07-17 01:16:10 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-07-17 01:16:10 install libgnutls30:amd64 <none> 3.7.9-2+deb12u4
2025-07-17 01:16:10 status half-installed libgnutls30:amd64 3.7.9-2+deb12u4
2025-07-17 01:16:10 status unpacked libgnutls30:amd64 3.7.9-2+deb12u4
2025-07-17 01:16:10 install libgpg-error0:amd64 <none> 1.46-1
2025-07-17 01:16:10 status half-installed libgpg-error0:amd64 1.46-1
2025-07-17 01:16:10 status unpacked libgpg-error0:amd64 1.46-1
2025-07-17 01:16:10 install libhogweed6:amd64 <none> 3.8.1-2
2025-07-17 01:16:10 status half-installed libhogweed6:amd64 3.8.1-2
2025-07-17 01:16:10 status unpacked libhogweed6:amd64 3.8.1-2
2025-07-17 01:16:10 install libidn2-0:amd64 <none> 2.3.3-1+b1
2025-07-17 01:16:10 status half-installed libidn2-0:amd64 2.3.3-1+b1
2025-07-17 01:16:10 status unpacked libidn2-0:amd64 2.3.3-1+b1
2025-07-17 01:16:10 install liblz4-1:amd64 <none> 1.9.4-1
2025-07-17 01:16:10 status half-installed liblz4-1:amd64 1.9.4-1
2025-07-17 01:16:10 status unpacked liblz4-1:amd64 1.9.4-1
2025-07-17 01:16:10 install liblzma5:amd64 <none> 5.4.1-1
2025-07-17 01:16:10 status half-installed liblzma5:amd64 5.4.1-1
2025-07-17 01:16:11 status unpacked liblzma5:amd64 5.4.1-1
2025-07-17 01:16:11 install libmd0:amd64 <none> 1.0.4-2
2025-07-17 01:16:11 status half-installed libmd0:amd64 1.0.4-2
2025-07-17 01:16:11 status unpacked libmd0:amd64 1.0.4-2
2025-07-17 01:16:11 install libmount1:amd64 <none> 2.38.1-5+deb12u3
2025-07-17 01:16:11 status half-installed libmount1:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:11 status unpacked libmount1:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:11 install libnettle8:amd64 <none> 3.8.1-2
2025-07-17 01:16:11 status half-installed libnettle8:amd64 3.8.1-2
2025-07-17 01:16:11 status unpacked libnettle8:amd64 3.8.1-2
2025-07-17 01:16:11 install libp11-kit0:amd64 <none> 0.24.1-2
2025-07-17 01:16:11 status half-installed libp11-kit0:amd64 0.24.1-2
2025-07-17 01:16:11 status unpacked libp11-kit0:amd64 0.24.1-2
2025-07-17 01:16:11 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2025-07-17 01:16:11 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2025-07-17 01:16:12 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2025-07-17 01:16:12 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2025-07-17 01:16:12 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-07-17 01:16:12 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-07-17 01:16:12 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2025-07-17 01:16:12 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2025-07-17 01:16:12 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2025-07-17 01:16:12 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2025-07-17 01:16:12 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2025-07-17 01:16:12 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2025-07-17 01:16:12 install libpcre2-8-0:amd64 <none> 10.42-1
2025-07-17 01:16:12 status half-installed libpcre2-8-0:amd64 10.42-1
2025-07-17 01:16:12 status unpacked libpcre2-8-0:amd64 10.42-1
2025-07-17 01:16:12 install libseccomp2:amd64 <none> 2.5.4-1+deb12u1
2025-07-17 01:16:12 status half-installed libseccomp2:amd64 2.5.4-1+deb12u1
2025-07-17 01:16:13 status unpacked libseccomp2:amd64 2.5.4-1+deb12u1
2025-07-17 01:16:13 install libselinux1:amd64 <none> 3.4-1+b6
2025-07-17 01:16:13 status half-installed libselinux1:amd64 3.4-1+b6
2025-07-17 01:16:13 status unpacked libselinux1:amd64 3.4-1+b6
2025-07-17 01:16:13 install libsemanage-common:all <none> 3.4-1
2025-07-17 01:16:13 status half-installed libsemanage-common:all 3.4-1
2025-07-17 01:16:13 status unpacked libsemanage-common:all 3.4-1
2025-07-17 01:16:13 install libsemanage2:amd64 <none> 3.4-1+b5
2025-07-17 01:16:13 status half-installed libsemanage2:amd64 3.4-1+b5
2025-07-17 01:16:13 status unpacked libsemanage2:amd64 3.4-1+b5
2025-07-17 01:16:13 install libsepol2:amd64 <none> 3.4-2.1
2025-07-17 01:16:13 status half-installed libsepol2:amd64 3.4-2.1
2025-07-17 01:16:13 status unpacked libsepol2:amd64 3.4-2.1
2025-07-17 01:16:13 install libsmartcols1:amd64 <none> 2.38.1-5+deb12u3
2025-07-17 01:16:13 status half-installed libsmartcols1:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:13 status unpacked libsmartcols1:amd64 2.38.1-5+deb12u3
2025-07-17 01:16:13 install libss2:amd64 <none> 1.47.0-2
2025-07-17 01:16:13 status half-installed libss2:amd64 1.47.0-2
2025-07-17 01:16:13 status unpacked libss2:amd64 1.47.0-2
2025-07-17 01:16:13 install libstdc++6:amd64 <none> 12.2.0-14+deb12u1
2025-07-17 01:16:13 status half-installed libstdc++6:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:13 status unpacked libstdc++6:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:13 install libsystemd0:amd64 <none> 252.36-1~deb12u1
2025-07-17 01:16:13 status half-installed libsystemd0:amd64 252.36-1~deb12u1
2025-07-17 01:16:13 status unpacked libsystemd0:amd64 252.36-1~deb12u1
2025-07-17 01:16:13 install libtasn1-6:amd64 <none> 4.19.0-2+deb12u1
2025-07-17 01:16:13 status half-installed libtasn1-6:amd64 4.19.0-2+deb12u1
2025-07-17 01:16:14 status unpacked libtasn1-6:amd64 4.19.0-2+deb12u1
2025-07-17 01:16:14 install libtinfo6:amd64 <none> 6.4-4
